variant,window,trades,ret,dd,sharpe,avg_r,pf,win
prod + GATE>=0.15 + sizing,F2,335,71.0,15.4,4.8,0.1858,1.86,54.6
prod + GATE>=0.15 + sizing,F3,298,79.0,11.2,2.39,0.2031,1.83,46.0
prod + GATE>=0.15 + sizing 2x costs,full,846,175.7,18.3,2.05,0.1337,1.54,46.8
prod + GATE>=0.15 + sizing 2x costs,train,604,58.2,18.3,2.58,0.0914,1.36,46.9
prod + GATE>=0.15 + sizing 2x costs,valid,242,74.3,12.4,2.82,0.2393,2.01,46.7
prod + GATE>=0.15 + sizing 2x costs,F1,213,-3.4,19.3,-0.3,-0.0003,1.0,38.5
prod + GATE>=0.15 + sizing 2x costs,F2,335,64.8,15.9,4.58,0.1722,1.78,53.7
prod + GATE>=0.15 + sizing 2x costs,F3,298,73.3,13.2,2.31,0.1862,1.74,45.0
prod + GATE>=0.15 + sizing 3x costs,full,846,150.7,19.1,1.91,0.1188,1.46,46.5
prod + GATE>=0.15 + sizing 3x costs,train,604,47.8,19.1,2.26,0.0775,1.3,46.5
prod + GATE>=0.15 + sizing 3x costs,valid,242,69.6,14.0,2.74,0.2218,1.9,46.3
prod + GATE>=0.15 + sizing 3x costs,F1,213,-5.9,20.1,-0.7,-0.0147,0.95,38.0
prod + GATE>=0.15 + sizing 3x costs,F2,335,58.8,16.5,4.35,0.1586,1.69,53.4
prod + GATE>=0.15 + sizing 3x costs,F3,298,67.7,15.2,2.23,0.1693,1.65,44.6
Sunday + GATE>=0.15 + sizing,full,809,221.3,16.8,2.27,0.1601,1.67,47.8
Sunday + GATE>=0.15 + sizing,train,581,79.0,16.8,3.14,0.1183,1.49,48.0
Sunday + GATE>=0.15 + sizing,valid,228,79.5,10.9,2.91,0.2666,2.15,47.4
Sunday + GATE>=0.15 + sizing,F1,210,-0.2,17.9,0.23,0.0171,1.06,38.1
Sunday + GATE>=0.15 + sizing,F2,316,78.7,15.0,5.11,0.21,2.02,56.0
Sunday + GATE>=0.15 + sizing,F3,283,80.2,11.0,2.41,0.2104,1.85,45.9
Sunday + GATE>=0.15 + sizing 2x costs,full,809,193.7,17.4,2.15,0.1452,1.59,47.1
Sunday + GATE>=0.15 + sizing 2x costs,train,581,67.8,17.4,2.86,0.1045,1.42,47.3
Sunday + GATE>=0.15 + sizing 2x costs,valid,228,75.0,12.4,2.83,0.2489,2.03,46.5
Sunday + GATE>=0.15 + sizing 2x costs,F1,210,-2.6,18.7,-0.18,0.0027,1.01,38.1
Sunday + GATE>=0.15 + sizing 2x costs,F2,316,72.7,15.5,4.92,0.1967,1.93,55.1
Sunday + GATE>=0.15 + sizing 2x costs,F3,283,74.7,12.9,2.34,0.1934,1.75,44.9
Sunday + GATE>=0.15 + sizing 3x costs,full,809,168.5,18.2,2.02,0.1303,1.51,46.7
Sunday + GATE>=0.15 + sizing 3x costs,train,581,57.4,18.0,2.57,0.0907,1.36,47.0
Sunday + GATE>=0.15 + sizing 3x costs,valid,228,70.6,14.0,2.76,0.2312,1.93,46.1
Sunday + GATE>=0.15 + sizing 3x costs,F1,210,-5.0,19.4,-0.58,-0.0117,0.96,37.6
Sunday + GATE>=0.15 + sizing 3x costs,F2,316,66.9,16.1,4.73,0.1833,1.84,54.7
Sunday + GATE>=0.15 + sizing 3x costs,F3,283,69.4,14.8,2.26,0.1764,1.66,44.5
