run_id,ts,timeframe,strategy,params,split,symbols,notes,trades,win_rate,avg_r,median_r,profit_factor,total_return_pct,max_dd_pct,sharpe,avg_dur_h,long_trades,short_trades,long_avg_r,short_avg_r,exit_sl,exit_tp,exit_trail,exit_flip
20260831_195603_st_trail,2026-08-31T11:56:03.739895+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.5, ""st_period"": 10, ""trail_mult"": 3.5}",train,160,,564,38.3,0.0624,-0.1847,1.217,38.76,33.62,1.56,174.3,329.0,235.0,0.0379,0.0968,15.0,0.0,382.0,167.0
20260831_195607_st_trail,2026-08-31T11:56:07.553413+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 4.0, ""st_period"": 10, ""trail_mult"": 2.5}",train,164,,1644,32.36,-0.0835,-0.2285,0.68,-75.39,78.17,-3.88,107.3,787.0,857.0,-0.1049,-0.0639,26.0,0.0,1551.0,66.0
20260831_195611_st_trail,2026-08-31T11:56:11.196147+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 4.0, ""st_period"": 10, ""trail_mult"": 2.5}",train,153,,531,34.46,-0.0289,-0.2167,0.888,-15.33,28.37,-0.82,91.2,369.0,162.0,-0.0176,-0.0545,7.0,0.0,503.0,21.0
20260831_195615_st_trail,2026-08-31T11:56:15.034874+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 4.0, ""st_period"": 10, ""trail_mult"": 3.5}",train,164,,1296,35.65,-0.0561,-0.2426,0.822,-53.53,71.53,-1.07,197.8,485.0,811.0,-0.0808,-0.0414,60.0,0.0,928.0,306.0
20260831_195618_st_trail,2026-08-31T11:56:18.686014+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 4.0, ""st_period"": 10, ""trail_mult"": 3.5}",train,153,,482,36.51,0.0484,-0.2349,1.157,23.63,27.85,1.19,169.6,324.0,158.0,0.0285,0.0891,13.0,0.0,384.0,85.0
20260831_195622_st_trail,2026-08-31T11:56:22.806129+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.0, ""st_period"": 12, ""trail_mult"": 2.5}",train,164,,2244,31.77,-0.0802,-0.2289,0.684,-84.09,85.33,-3.88,105.3,974.0,1270.0,-0.0688,-0.089,37.0,0.0,1930.0,276.0
20260831_195626_st_trail,2026-08-31T11:56:26.527082+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.0, ""st_period"": 12, ""trail_mult"": 2.5}",train,161,,838,35.8,-0.026,-0.1661,0.89,-20.78,39.73,-1.13,108.4,463.0,375.0,-0.0326,-0.0178,14.0,0.0,704.0,120.0
20260831_195630_st_trail,2026-08-31T11:56:30.516007+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.0, ""st_period"": 12, ""trail_mult"": 3.5}",train,164,,1708,34.6,-0.0641,-0.2417,0.785,-68.08,83.1,-1.77,163.5,645.0,1063.0,-0.0989,-0.0431,50.0,0.0,781.0,875.0
20260831_195634_st_trail,2026-08-31T11:56:34.220326+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.0, ""st_period"": 12, ""trail_mult"": 3.5}",train,161,,731,37.76,0.019,-0.177,1.068,11.84,48.22,0.73,157.6,380.0,351.0,0.0089,0.03,17.0,0.0,359.0,355.0
20260831_195638_st_trail,2026-08-31T11:56:38.147545+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.5, ""st_period"": 12, ""trail_mult"": 2.5}",train,164,,1930,32.38,-0.0798,-0.2299,0.687,-79.28,81.77,-4.03,110.5,883.0,1047.0,-0.0842,-0.0761,31.0,0.0,1758.0,140.0
20260831_195641_st_trail,2026-08-31T11:56:41.822174+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.5, ""st_period"": 12, ""trail_mult"": 2.5}",train,161,,671,35.02,-0.0408,-0.1767,0.836,-24.88,32.03,-1.73,105.9,403.0,268.0,-0.0526,-0.023,12.0,0.0,594.0,65.0
20260831_195645_st_trail,2026-08-31T11:56:45.729035+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.5, ""st_period"": 12, ""trail_mult"": 3.5}",train,164,,1462,35.5,-0.0486,-0.2447,0.843,-53.42,75.42,-1.0,188.9,537.0,925.0,-0.0555,-0.0446,53.0,0.0,900.0,508.0
20260831_195649_st_trail,2026-08-31T11:56:49.453673+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.5, ""st_period"": 12, ""trail_mult"": 3.5}",train,161,,605,39.01,0.0501,-0.181,1.174,32.14,41.29,1.31,179.9,347.0,258.0,0.0213,0.089,17.0,0.0,407.0,181.0
20260831_195653_st_trail,2026-08-31T11:56:53.282046+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 4.0, ""st_period"": 12, ""trail_mult"": 2.5}",train,164,,1661,32.63,-0.0814,-0.2251,0.689,-74.91,77.97,-3.62,109.1,798.0,863.0,-0.0992,-0.0649,26.0,0.0,1564.0,70.0
20260831_195656_st_trail,2026-08-31T11:56:56.951588+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 4.0, ""st_period"": 12, ""trail_mult"": 2.5}",train,154,,566,35.16,-0.023,-0.2133,0.91,-13.41,30.19,-0.63,98.3,385.0,181.0,-0.013,-0.0443,7.0,0.0,534.0,25.0
20260831_195700_st_trail,2026-08-31T11:57:00.888245+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 4.0, ""st_period"": 12, ""trail_mult"": 3.5}",train,164,,1312,35.75,-0.0489,-0.2384,0.845,-49.5,76.18,-0.88,202.3,496.0,816.0,-0.0763,-0.0322,58.0,0.0,953.0,299.0
20260831_195704_st_trail,2026-08-31T11:57:04.643366+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 4.0, ""st_period"": 12, ""trail_mult"": 3.5}",train,154,,516,36.63,0.0364,-0.23,1.118,18.1,32.74,0.97,173.8,339.0,177.0,0.0198,0.0682,13.0,0.0,413.0,90.0
20260831_195708_st_trail,2026-08-31T11:57:08.613614+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.0, ""st_period"": 14, ""trail_mult"": 2.5}",train,164,,2279,31.37,-0.0783,-0.2249,0.69,-83.84,85.36,-3.88,105.7,1009.0,1270.0,-0.0671,-0.0872,36.0,0.0,1977.0,265.0
20260831_195712_st_trail,2026-08-31T11:57:12.392470+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.0, ""st_period"": 14, ""trail_mult"": 2.5}",train,161,,867,35.06,-0.0238,-0.1688,0.899,-19.98,41.7,-0.99,110.8,484.0,383.0,-0.0366,-0.0077,13.0,0.0,724.0,130.0
20260831_195716_st_trail,2026-08-31T11:57:16.874842+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.0, ""st_period"": 14, ""trail_mult"": 3.5}",train,164,,1710,34.8,-0.0631,-0.2399,0.788,-67.53,82.31,-1.73,165.7,667.0,1043.0,-0.099,-0.0401,44.0,0.0,784.0,880.0
20260831_195720_st_trail,2026-08-31T11:57:20.955083+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.0, ""st_period"": 14, ""trail_mult"": 3.5}",train,161,,747,36.81,0.012,-0.1895,1.043,6.54,46.17,0.51,160.1,389.0,358.0,-0.0039,0.0293,16.0,0.0,360.0,371.0
20260831_195725_st_trail,2026-08-31T11:57:25.058582+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.5, ""st_period"": 14, ""trail_mult"": 2.5}",train,164,,1927,32.69,-0.0759,-0.2229,0.699,-77.57,79.6,-3.8,112.1,887.0,1040.0,-0.0826,-0.0702,28.0,0.0,1759.0,139.0
20260831_195729_st_trail,2026-08-31T11:57:29.060977+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.5, ""st_period"": 14, ""trail_mult"": 2.5}",train,162,,701,36.8,-0.0208,-0.1688,0.912,-14.61,32.01,-0.77,113.9,416.0,285.0,-0.0328,-0.0032,8.0,0.0,621.0,72.0
20260831_195733_st_trail,2026-08-31T11:57:33.015391+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.5, ""st_period"": 14, ""trail_mult"": 3.5}",train,164,,1456,35.85,-0.049,-0.2415,0.84,-53.44,75.16,-0.96,192.1,546.0,910.0,-0.0677,-0.0378,51.0,0.0,892.0,512.0
20260831_195736_st_trail,2026-08-31T11:57:36.722272+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.5, ""st_period"": 14, ""trail_mult"": 3.5}",train,162,,624,39.74,0.0485,-0.1774,1.173,32.16,40.12,1.2,186.3,351.0,273.0,0.015,0.0917,13.0,0.0,404.0,207.0
20260831_195740_st_trail,2026-08-31T11:57:40.538454+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 4.0, ""st_period"": 14, ""trail_mult"": 2.5}",train,164,,1681,32.66,-0.0797,-0.236,0.698,-74.64,78.48,-3.51,111.5,811.0,870.0,-0.1001,-0.0608,25.0,0.0,1585.0,70.0
20260831_195744_st_trail,2026-08-31T11:57:44.345018+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 4.0, ""st_period"": 14, ""trail_mult"": 2.5}",train,159,,599,35.89,-0.0206,-0.216,0.92,-12.92,32.4,-0.54,103.6,402.0,197.0,-0.0239,-0.014,6.0,0.0,565.0,28.0
20260831_195748_st_trail,2026-08-31T11:57:48.161658+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 4.0, ""st_period"": 14, ""trail_mult"": 3.5}",train,164,,1321,34.67,-0.0594,-0.2598,0.815,-56.25,78.0,-1.19,205.4,504.0,817.0,-0.0989,-0.0351,54.0,0.0,979.0,286.0
20260831_195751_st_trail,2026-08-31T11:57:51.864719+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 4.0, ""st_period"": 14, ""trail_mult"": 3.5}",train,159,,541,36.04,0.0175,-0.2168,1.056,7.52,36.04,0.58,179.5,351.0,190.0,-0.0135,0.0746,15.0,0.0,430.0,96.0
20260831_195755_st_trail,2026-08-31T11:57:55.818051+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.0, ""st_period"": 20, ""trail_mult"": 2.5}",train,164,,2283,31.71,-0.0776,-0.2297,0.694,-83.63,85.55,-3.86,109.8,1029.0,1254.0,-0.0783,-0.077,38.0,0.0,1979.0,265.0
20260831_195759_st_trail,2026-08-31T11:57:59.554481+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.0, ""st_period"": 20, ""trail_mult"": 2.5}",train,162,,915,36.17,-0.0218,-0.1578,0.906,-19.39,38.66,-0.98,116.4,503.0,412.0,-0.0508,0.0136,12.0,0.0,757.0,146.0
20260831_195803_st_trail,2026-08-31T11:58:03.634657+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.0, ""st_period"": 20, ""trail_mult"": 3.5}",train,164,,1699,36.61,-0.0502,-0.2365,0.829,-59.33,79.85,-1.23,170.4,717.0,982.0,-0.0856,-0.0244,45.0,0.0,775.0,877.0
20260831_195807_st_trail,2026-08-31T11:58:07.843028+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.0, ""st_period"": 20, ""trail_mult"": 3.5}",train,162,,789,38.15,0.0229,-0.1784,1.084,16.65,42.61,0.87,166.9,412.0,377.0,-0.0029,0.0511,14.0,0.0,372.0,403.0
20260831_195811_st_trail,2026-08-31T11:58:11.948370+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.5, ""st_period"": 20, ""trail_mult"": 2.5}",train,164,,1969,33.32,-0.0677,-0.223,0.731,-74.56,79.74,-3.08,115.3,936.0,1033.0,-0.0708,-0.0649,29.0,0.0,1810.0,129.0
20260831_195815_st_trail,2026-08-31T11:58:15.651864+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.5, ""st_period"": 20, ""trail_mult"": 2.5}",train,161,,778,38.05,-0.0037,-0.1607,0.984,-4.27,35.54,-0.04,120.5,458.0,320.0,-0.0036,-0.0038,8.0,0.0,699.0,71.0
20260831_195819_st_trail,2026-08-31T11:58:19.638011+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.5, ""st_period"": 20, ""trail_mult"": 3.5}",train,164,,1477,35.48,-0.0386,-0.2293,0.873,-46.42,75.66,-0.7,195.7,589.0,888.0,-0.0496,-0.0314,48.0,0.0,936.0,492.0
20260831_195823_st_trail,2026-08-31T11:58:23.349022+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.5, ""st_period"": 20, ""trail_mult"": 3.5}",train,161,,677,40.18,0.0424,-0.1647,1.152,30.11,43.35,1.14,188.5,364.0,313.0,0.037,0.0488,12.0,0.0,441.0,224.0
